clients_by,training_mode,calibration_scope,roc_auc,pr_auc,f1,false_alarm_rate,miss_rate,uncertain_rate,health_gap
bearing,centralized,adaptive,0.5122,0.9816,0.1266,0.043,0.9273,0.06,0.0276
bearing,centralized,client_specific,0.5246,0.9819,0.2055,0.0644,0.8704,0.0545,0.062
bearing,centralized,pooled,0.4833,0.9807,0.0799,0.0476,0.9576,0.0534,-0.004
bearing,fedavg,adaptive,0.4826,0.9808,0.0807,0.0446,0.9565,0.0503,-0.002
bearing,fedavg,client_specific,0.4866,0.981,0.1238,0.0695,0.9292,0.0508,0.0029
bearing,fedavg,pooled,0.4648,0.98,0.0599,0.0414,0.969,0.0449,-0.0158
bearing,fedavg-personalized,client_specific,0.5573,0.9849,0.2517,0.0708,0.844,0.0677,0.0919
bearing,fedbn,adaptive,0.5221,0.9828,0.1129,0.0422,0.935,0.055,0.0275
bearing,fedbn,client_specific,0.5261,0.9829,0.168,0.0642,0.9011,0.0593,0.0383
bearing,fedbn,pooled,0.5037,0.9819,0.1044,0.0457,0.9385,0.0598,0.0141
bearing,fedbn-personalized,client_specific,0.6025,0.9864,0.2785,0.0432,0.8241,0.0862,0.1285
bearing,fedprox,adaptive,0.4718,0.9803,0.0763,0.0444,0.9594,0.044,-0.0071
bearing,fedprox,client_specific,0.4781,0.9806,0.1014,0.0607,0.9441,0.0452,-0.0059
bearing,fedprox,pooled,0.4588,0.9796,0.0638,0.0413,0.9666,0.0385,-0.0164
bearing,fedprox-personalized,client_specific,0.5478,0.9842,0.2022,0.0629,0.88,0.0711,0.0695
bearing,local-only,client_specific,0.5072,0.9807,0.0945,0.0707,0.9482,0.0508,-0.0019
condition,centralized,adaptive,0.4484,0.9722,0.1072,0.0437,0.9427,0.039,-0.0014
condition,centralized,client_specific,0.453,0.9722,0.187,0.0784,0.8913,0.052,0.0155
condition,centralized,pooled,0.4396,0.97,0.0891,0.0634,0.9525,0.0368,-0.022
condition,fedavg,adaptive,0.4691,0.9702,0.0765,0.0489,0.9595,0.0463,-0.0135
condition,fedavg,client_specific,0.4729,0.9705,0.1085,0.0661,0.9409,0.0494,-0.0123
condition,fedavg,pooled,0.4674,0.9698,0.0712,0.0525,0.9626,0.0456,-0.0185
condition,fedavg-personalized,client_specific,0.4709,0.9721,0.1559,0.0649,0.9127,0.0459,0.0101
condition,fedbn,adaptive,0.5062,0.9737,0.1151,0.0392,0.9332,0.052,0.0227
condition,fedbn,client_specific,0.5071,0.9737,0.1591,0.0572,0.9074,0.0611,0.0294
condition,fedbn,pooled,0.5066,0.9734,0.1186,0.0472,0.9286,0.0618,0.0183
condition,fedbn-personalized,client_specific,0.5237,0.9755,0.1686,0.0498,0.9046,0.0672,0.0467
condition,fedprox,adaptive,0.4823,0.9719,0.0849,0.0396,0.9547,0.0489,0.0
condition,fedprox,client_specific,0.4855,0.9722,0.1251,0.0494,0.9298,0.0492,0.0116
condition,fedprox,pooled,0.479,0.9712,0.0735,0.0488,0.9612,0.0464,-0.011
condition,fedprox-personalized,client_specific,0.4979,0.9739,0.1811,0.0529,0.8963,0.0442,0.0376
condition,local-only,client_specific,0.4326,0.9679,0.1075,0.0558,0.9414,0.0309,-0.0239
