training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
local-only,42,bearing,client_specific,cnn-ae,K001,hard_val_p95,0.016227180527383367,0.0,0.9918200408997955,0.020582329317269075,0.05926361827891889,0.043950238569436376,-0.015313379709482516
local-only,42,bearing,client_specific,cnn-ae,K001,fuzzy_warning_as_alarm_hi50,0.016227180527383367,0.0,0.9918200408997955,0.020582329317269075,0.05926361827891889,0.043950238569436376,-0.015313379709482516
local-only,42,bearing,client_specific,cnn-ae,K001,fuzzy_fault_only_hi75,0.00916030534351145,0.0,0.995398773006135,0.020582329317269075,0.05926361827891889,0.043950238569436376,-0.015313379709482516
local-only,42,bearing,client_specific,cnn-ae,K002,hard_val_p95,0.09713453132588636,0.08333333333333333,0.9488752556237219,0.03263052208835342,0.1301220799281069,0.08815822804351893,-0.04196385188458797
local-only,42,bearing,client_specific,cnn-ae,K002,fuzzy_warning_as_alarm_hi50,0.09713453132588636,0.08333333333333333,0.9488752556237219,0.03263052208835342,0.1301220799281069,0.08815822804351893,-0.04196385188458797
local-only,42,bearing,client_specific,cnn-ae,K002,fuzzy_fault_only_hi75,0.08223201174743025,0.08333333333333333,0.9570552147239264,0.03263052208835342,0.1301220799281069,0.08815822804351893,-0.04196385188458797
local-only,42,bearing,client_specific,cnn-ae,K003,hard_val_p95,0.04295704295704296,0.08108108108108109,0.9780163599182005,0.029101856497742096,0.12272157804964898,0.05959049892359575,-0.06313107912605323
local-only,42,bearing,client_specific,cnn-ae,K003,fuzzy_warning_as_alarm_hi50,0.04295704295704296,0.08108108108108109,0.9780163599182005,0.029101856497742096,0.12272157804964898,0.05959049892359575,-0.06313107912605323
local-only,42,bearing,client_specific,cnn-ae,K003,fuzzy_fault_only_hi75,0.02721774193548387,0.02702702702702703,0.9861963190184049,0.029101856497742096,0.12272157804964898,0.05959049892359575,-0.06313107912605323
local-only,42,bearing,client_specific,cnn-ae,K004,hard_val_p95,0.16806722689075632,0.16666666666666666,0.9079754601226994,0.05471887550200803,0.19543241145864154,0.1251164137898352,-0.07031599766880633
local-only,42,bearing,client_specific,cnn-ae,K004,fuzzy_warning_as_alarm_hi50,0.16806722689075632,0.16666666666666666,0.9079754601226994,0.05471887550200803,0.19543241145864154,0.1251164137898352,-0.07031599766880633
local-only,42,bearing,client_specific,cnn-ae,K004,fuzzy_fault_only_hi75,0.08597948216902784,0.08333333333333333,0.9550102249488752,0.05471887550200803,0.19543241145864154,0.1251164137898352,-0.07031599766880633
local-only,42,bearing,client_specific,cnn-ae,K005,hard_val_p95,0.30775862068965515,0.19444444444444445,0.8174846625766872,0.06877510040160642,0.19538380320059506,0.2296770960266081,0.03429329282601304
local-only,42,bearing,client_specific,cnn-ae,K005,fuzzy_warning_as_alarm_hi50,0.30775862068965515,0.19444444444444445,0.8174846625766872,0.06877510040160642,0.19538380320059506,0.2296770960266081,0.03429329282601304
local-only,42,bearing,client_specific,cnn-ae,K005,fuzzy_fault_only_hi75,0.25378450578806766,0.1388888888888889,0.8542944785276073,0.06877510040160642,0.19538380320059506,0.2296770960266081,0.03429329282601304
local-only,42,bearing,client_specific,cnn-ae,K006,hard_val_p95,0.01017293997965412,0.0,0.9948875255623721,0.024096385542168676,0.07388823918124982,0.04041034034299104,-0.033477898838258774
