clients_by,training_mode,model,decision_policy,false_alarm_rate_std,miss_rate_std,uncertain_rate_std,health_gap_std
bearing,centralized,cnn-ae,fuzzy_fault_only_hi75,0.04183522585164318,0.10252644961277,0.04100969666903779,0.12084294820024849
bearing,centralized,cnn-ae,fuzzy_warning_as_alarm_hi50,0.047269409932737885,0.1087969849495917,0.04100969666903779,0.12084294820024849
bearing,centralized,cnn-ae,hard_val_p95,0.047269409932737885,0.1087969849495917,0.04100969666903779,0.12084294820024849
bearing,centralized,vae,fuzzy_fault_only_hi75,0.0396959445764826,0.11880322784663735,0.0378374935748962,0.12721243331191068
bearing,centralized,vae,fuzzy_warning_as_alarm_hi50,0.040970215566537765,0.12671752469789882,0.0378374935748962,0.12721243331191068
bearing,centralized,vae,hard_val_p95,0.040970215566537765,0.12671752469789882,0.0378374935748962,0.12721243331191068
bearing,federated,cnn-ae,fuzzy_fault_only_hi75,0.048079662696675476,0.07019634397494089,0.03364234856291708,0.07744507807480881
bearing,federated,cnn-ae,fuzzy_warning_as_alarm_hi50,0.06574430326765793,0.07819404583190781,0.03364234856291708,0.07744507807480881
bearing,federated,cnn-ae,hard_val_p95,0.06574430326765793,0.07819404583190781,0.03364234856291708,0.07744507807480881
bearing,federated,vae,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0
bearing,federated,vae,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0
bearing,federated,vae,hard_val_p95,0.0,0.0,0.0,0.0
bearing,local-only,cnn-ae,fuzzy_fault_only_hi75,0.03701326314811557,0.04206008419311425,0.039822532203424674,0.07849043090389338
bearing,local-only,cnn-ae,fuzzy_warning_as_alarm_hi50,0.04348445653999544,0.059593231035139305,0.039822532203424674,0.07849043090389338
bearing,local-only,cnn-ae,hard_val_p95,0.04348445653999544,0.059593231035139305,0.039822532203424674,0.07849043090389338
bearing,local-only,vae,fuzzy_fault_only_hi75,0.0538254780935749,0.019725748115669413,0.02738265134775546,0.05034791950934122
bearing,local-only,vae,fuzzy_warning_as_alarm_hi50,0.07103646476537445,0.02466508504036438,0.02738265134775546,0.05034791950934122
bearing,local-only,vae,hard_val_p95,0.07103646476537445,0.02466508504036438,0.02738265134775546,0.05034791950934122
condition,centralized,cnn-ae,fuzzy_fault_only_hi75,0.03355021993851087,0.05843280958554368,0.023757528059752096,0.07769593457192746
condition,centralized,cnn-ae,fuzzy_warning_as_alarm_hi50,0.0380252656402094,0.07752340481696694,0.023757528059752096,0.07769593457192746
condition,centralized,cnn-ae,hard_val_p95,0.0380252656402094,0.07752340481696694,0.023757528059752096,0.07769593457192746
condition,centralized,vae,fuzzy_fault_only_hi75,0.022900097891149367,0.09812210342243118,0.025057289579509572,0.10586397864753302
condition,centralized,vae,fuzzy_warning_as_alarm_hi50,0.026281437513184326,0.10715085761827549,0.025057289579509572,0.10586397864753302
condition,centralized,vae,hard_val_p95,0.026281437513184326,0.10715085761827549,0.025057289579509572,0.10586397864753302
condition,federated,cnn-ae,fuzzy_fault_only_hi75,0.033144661181291675,0.03528946559598463,0.02487793687634976,0.044315055010119064
condition,federated,cnn-ae,fuzzy_warning_as_alarm_hi50,0.046000974913826834,0.04310043347103661,0.02487793687634976,0.044315055010119064
condition,federated,cnn-ae,hard_val_p95,0.046000974913826834,0.04310043347103661,0.02487793687634976,0.044315055010119064
condition,federated,vae,fuzzy_fault_only_hi75,0.028289854392298523,0.01364358672742911,0.018813364261742016,0.028494775870108204
condition,federated,vae,fuzzy_warning_as_alarm_hi50,0.03925710881510194,0.019258415453203618,0.018813364261742016,0.028494775870108204
condition,federated,vae,hard_val_p95,0.03925710881510194,0.019258415453203618,0.018813364261742016,0.028494775870108204
condition,local-only,cnn-ae,fuzzy_fault_only_hi75,0.02383857620959367,0.0388520027331799,0.017407302538473498,0.035066981915903656
condition,local-only,cnn-ae,fuzzy_warning_as_alarm_hi50,0.024613837437956768,0.045096380527384405,0.017407302538473498,0.035066981915903656
condition,local-only,cnn-ae,hard_val_p95,0.024613837437956768,0.045096380527384405,0.017407302538473498,0.035066981915903656
condition,local-only,vae,fuzzy_fault_only_hi75,0.029145827394529766,0.009363957465702974,0.01860672623744222,0.02440360239996128
condition,local-only,vae,fuzzy_warning_as_alarm_hi50,0.032410257923808715,0.012078728038171544,0.01860672623744222,0.02440360239996128
condition,local-only,vae,hard_val_p95,0.032410257923808715,0.012078728038171544,0.01860672623744222,0.02440360239996128
