clients_by,training_mode,calibration_scope,roc_auc,pr_auc,f1,false_alarm_rate,miss_rate,uncertain_rate,health_gap
bearing,centralized,adaptive,0.6943,0.993,0.6354,0.0336,0.5044,0.0395,0.4216
bearing,centralized,client_specific,0.7233,0.9934,0.6794,0.0526,0.4386,0.0378,0.4666
bearing,centralized,pooled,0.6038,0.9901,0.4723,0.1057,0.6906,0.0515,0.1938
bearing,fedavg,adaptive,0.6652,0.9919,0.5194,0.0414,0.6148,0.0742,0.314
bearing,fedavg,client_specific,0.6919,0.9923,0.5653,0.0575,0.5475,0.0674,0.3601
bearing,fedavg,pooled,0.6219,0.9899,0.3639,0.0772,0.7735,0.0763,0.1544
bearing,fedavg-personalized,client_specific,0.7598,0.9946,0.7181,0.0442,0.3903,0.0309,0.5228
bearing,fedbn,adaptive,0.7621,0.9947,0.6434,0.028,0.4724,0.0627,0.4648
bearing,fedbn,client_specific,0.7777,0.9948,0.6826,0.0536,0.4127,0.0516,0.4986
bearing,fedbn,pooled,0.7218,0.9931,0.3936,0.078,0.7236,0.0889,0.2143
bearing,fedbn-personalized,client_specific,0.7592,0.9946,0.7191,0.0447,0.389,0.033,0.5227
bearing,fedprox,adaptive,0.6671,0.9921,0.5237,0.0369,0.6149,0.0757,0.317
bearing,fedprox,client_specific,0.6928,0.9926,0.5754,0.0533,0.5432,0.071,0.3656
bearing,fedprox,pooled,0.6293,0.9904,0.3748,0.0705,0.7671,0.0871,0.162
bearing,fedprox-personalized,client_specific,0.7625,0.9947,0.7216,0.045,0.3861,0.0322,0.5213
bearing,local-only,client_specific,0.8154,0.9957,0.7377,0.0605,0.3658,0.048,0.543
condition,centralized,adaptive,0.5984,0.9743,0.4759,0.1052,0.6866,0.0462,0.196
condition,centralized,client_specific,0.6041,0.9741,0.5051,0.0571,0.653,0.0486,0.2436
condition,centralized,pooled,0.5931,0.974,0.4761,0.1557,0.6866,0.0514,0.1556
condition,fedavg,adaptive,0.6199,0.9748,0.4396,0.0584,0.7171,0.0388,0.2079
condition,fedavg,client_specific,0.6232,0.9747,0.4946,0.0534,0.6618,0.0477,0.2485
condition,fedavg,pooled,0.6176,0.9747,0.4278,0.0778,0.7267,0.04,0.1863
condition,fedavg-personalized,client_specific,0.6392,0.9765,0.5334,0.0476,0.6267,0.0435,0.2819
condition,fedbn,adaptive,0.6642,0.9791,0.4098,0.0931,0.7283,0.1541,0.196
condition,fedbn,client_specific,0.668,0.979,0.5342,0.0501,0.6168,0.0607,0.3009
condition,fedbn,pooled,0.6608,0.9788,0.4269,0.1789,0.698,0.1307,0.1566
condition,fedbn-personalized,client_specific,0.6433,0.9768,0.5373,0.0546,0.6232,0.0432,0.2827
condition,fedprox,adaptive,0.6218,0.9747,0.4455,0.0532,0.7122,0.0538,0.2106
condition,fedprox,client_specific,0.6238,0.9746,0.4895,0.0528,0.6658,0.0593,0.2446
condition,fedprox,pooled,0.6203,0.9747,0.433,0.0715,0.7228,0.0628,0.1879
condition,fedprox-personalized,client_specific,0.6346,0.9761,0.5256,0.0542,0.6357,0.0445,0.272
condition,local-only,client_specific,0.7085,0.9796,0.6406,0.0571,0.5188,0.0473,0.378
