clients_by,training_mode,calibration_scope,model,decision_policy,round,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,1,0.6483734805856814,0.9910951956451894,0.35274358799899347,0.9964106477365627,0.23127106640849113,0.02180733488680225,0.7687289335915088,0.12507175827811104,0.11360437714075845,0.33674315404518107,0.22313877690442263
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,2,0.6826384678869535,0.9931927617546795,0.5903521555604506,0.9993359364996585,0.4412448902753872,0.013897100687601279,0.5587551097246127,0.03998565149097568,0.09473758920791632,0.4840225699013654,0.3892849806934491
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,3,0.6856789599181473,0.9932090708538789,0.5699945503934466,0.9993971812848342,0.4150799627079748,0.013336112578199262,0.5849200372920252,0.05159342907208863,0.09279936760366962,0.4653220552228385,0.3725226876191689
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,4,0.6769652735419731,0.9930537870814141,0.5232599176106275,0.999470464724634,0.3635972461273666,0.010324968247711645,0.6364027538726335,0.04238789978503715,0.08950638724692017,0.4163002761860776,0.32679388893915745
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,5,0.6758558059124599,0.9930514888602692,0.5189695384228539,0.9995016047304799,0.3587318022088353,0.009840472123680638,0.6412681977911646,0.03938914859024711,0.08846065003951804,0.41039719030938043,0.3219365402698624
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,6,0.67619630278154,0.9930688788010008,0.5179904087853284,0.9994127411374921,0.35764262406769937,0.012030285113651293,0.6423573759323006,0.038515882595743324,0.088521499934465,0.40902406401566593,0.3205025640812009
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,7,0.6763182412933624,0.9930839858054158,0.5179640966315134,0.9994464669049292,0.35761797188755023,0.011575898918232382,0.6423820281124498,0.03745383321645907,0.08807420969994346,0.40874010416530265,0.32066589446535915
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,8,0.6767194451694757,0.9931059497276324,0.5179052932217677,0.9994114077585827,0.35756866752725186,0.012605111023518592,0.6424313324727481,0.0375329711092602,0.08816428939960662,0.40869749420808504,0.32053320480847847
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,9,0.677309477487613,0.9931208684946332,0.5182596321356542,0.9994286659229749,0.35795862019506597,0.011898896334253055,0.642041379804934,0.03715933280045825,0.08844033589779465,0.4090022025757132,0.3205618666779185
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,10,0.6774217396452474,0.9931416920197522,0.51904024267363,0.9994024041226371,0.3588438575731498,0.012766609731528928,0.6411561424268503,0.037881247883095034,0.08816324869188051,0.40991836129778014,0.3217551126058997
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,1,0.6483734805856814,0.9910951956451894,0.42646142350182153,0.9958514118782694,0.28780075659781984,0.04361542711999431,0.7121992434021802,0.12507175827811104,0.11360437714075845,0.33674315404518107,0.22313877690442263
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,2,0.6826384678869535,0.9931927617546795,0.6099133469304072,0.998617144666072,0.4623337098393574,0.029185338500945776,0.5376662901606426,0.03998565149097568,0.09473758920791632,0.4840225699013654,0.3892849806934491
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,3,0.6856789599181473,0.9932090708538789,0.5942642344736865,0.9987644290197711,0.44150709982788294,0.028533717667151542,0.5584929001721171,0.05159342907208863,0.09279936760366962,0.4653220552228385,0.3725226876191689
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,4,0.6769652735419731,0.9930537870814141,0.5445553798222986,0.9987994588263299,0.3846614135111876,0.026012392523891897,0.6153385864888125,0.04238789978503715,0.08950638724692017,0.4163002761860776,0.32679388893915745
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,5,0.6758558059124599,0.9930514888602692,0.5381346379530193,0.9988493306296694,0.3774831468732071,0.025119892261200896,0.6225168531267928,0.03938914859024711,0.08846065003951804,0.41039719030938043,0.3219365402698624
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,6,0.67619630278154,0.9930688788010008,0.5362868769522514,0.9988760045627817,0.37555579460699945,0.024252178863925018,0.6244442053930006,0.038515882595743324,0.088521499934465,0.40902406401566593,0.3205025640812009
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,7,0.6763182412933624,0.9930839858054158,0.5356166967838343,0.9988827066011202,0.37484984581181874,0.024090680155914687,0.6251501541881813,0.03745383321645907,0.08807420969994346,0.40874010416530265,0.32066589446535915
