round,model,client_id,client_train_count,client_val_count,client_test_normal_count,threshold_strategy,threshold,normal_false_alarm_rate,normal_precision,normal_recall,optional_fault_count,optional_fault_recall,optional_fault_miss_rate,optional_fault_f1,mean_client_val_loss
1,cnn-ae,K001,172,37,36,train_p95,1.0995556116104126,0.027777777777777776,0.9285714285714286,0.02663934426229508,488,0.02663934426229508,0.9733606557377049,0.05179282868525897,8991.39404296875
1,cnn-ae,K001,172,37,36,train_p99,1.099830985069275,0.0,1.0,0.006147540983606557,488,0.006147540983606557,0.9938524590163934,0.012219959266802444,8991.39404296875
1,cnn-ae,K001,172,37,36,val_p95,1.099770426750183,0.0,1.0,0.006147540983606557,488,0.006147540983606557,0.9938524590163934,0.012219959266802444,8991.39404296875
1,cnn-ae,K001,172,37,36,val_p99,1.0999832153320312,0.0,0.0,0.0,488,0.0,1.0,0.0,8991.39404296875
1,cnn-ae,K001,172,37,36,train_mad5,1.1012765888571738,0.0,0.0,0.0,488,0.0,1.0,0.0,8991.39404296875
1,cnn-ae,K002,172,37,36,train_p95,1.0995556116104126,0.1388888888888889,0.7222222222222222,0.02663934426229508,488,0.02663934426229508,0.9733606557377049,0.05138339920948617,8991.39404296875
1,cnn-ae,K002,172,37,36,train_p99,1.099830985069275,0.027777777777777776,0.75,0.006147540983606557,488,0.006147540983606557,0.9938524590163934,0.012195121951219513,8991.39404296875
1,cnn-ae,K002,172,37,36,val_p95,1.099770426750183,0.05555555555555555,0.6,0.006147540983606557,488,0.006147540983606557,0.9938524590163934,0.012170385395537525,8991.39404296875
1,cnn-ae,K002,172,37,36,val_p99,1.0999832153320312,0.0,0.0,0.0,488,0.0,1.0,0.0,8991.39404296875
1,cnn-ae,K002,172,37,36,train_mad5,1.1012765888571738,0.0,0.0,0.0,488,0.0,1.0,0.0,8991.39404296875
2,cnn-ae,K001,172,37,36,train_p95,1.0791691541671753,0.1388888888888889,0.8780487804878049,0.07377049180327869,488,0.07377049180327869,0.9262295081967213,0.13610586011342155,8828.52392578125
2,cnn-ae,K001,172,37,36,train_p99,1.0798863172531128,0.05555555555555555,0.7142857142857143,0.010245901639344262,488,0.010245901639344262,0.9897540983606558,0.020202020202020204,8828.52392578125
2,cnn-ae,K001,172,37,36,val_p95,1.0800020694732666,0.027777777777777776,0.8333333333333334,0.010245901639344262,488,0.010245901639344262,0.9897540983606558,0.020242914979757085,8828.52392578125
2,cnn-ae,K001,172,37,36,val_p99,1.0809943675994873,0.0,1.0,0.0020491803278688526,488,0.0020491803278688526,0.9979508196721312,0.00408997955010225,8828.52392578125
2,cnn-ae,K001,172,37,36,train_mad5,1.0836190201044082,0.0,0.0,0.0,488,0.0,1.0,0.0,8828.52392578125
2,cnn-ae,K002,172,37,36,train_p95,1.0791691541671753,0.1111111111111111,0.9,0.07377049180327869,488,0.07377049180327869,0.9262295081967213,0.13636363636363635,8828.52392578125
2,cnn-ae,K002,172,37,36,train_p99,1.0798863172531128,0.05555555555555555,0.7142857142857143,0.010245901639344262,488,0.010245901639344262,0.9897540983606558,0.020202020202020204,8828.52392578125
2,cnn-ae,K002,172,37,36,val_p95,1.0800020694732666,0.05555555555555555,0.7142857142857143,0.010245901639344262,488,0.010245901639344262,0.9897540983606558,0.020202020202020204,8828.52392578125
2,cnn-ae,K002,172,37,36,val_p99,1.0809943675994873,0.0,1.0,0.0020491803278688526,488,0.0020491803278688526,0.9979508196721312,0.00408997955010225,8828.52392578125
2,cnn-ae,K002,172,37,36,train_mad5,1.0836190201044082,0.0,0.0,0.0,488,0.0,1.0,0.0,8828.52392578125
3,cnn-ae,K001,172,37,36,train_p95,1.061808705329895,0.19444444444444445,0.9090909090909091,0.14344262295081966,488,0.14344262295081966,0.8565573770491803,0.24778761061946902,8683.61328125
3,cnn-ae,K001,172,37,36,train_p99,1.0622981786727905,0.1388888888888889,0.868421052631579,0.06762295081967214,488,0.06762295081967214,0.9323770491803278,0.12547528517110265,8683.61328125
3,cnn-ae,K001,172,37,36,val_p95,1.062726616859436,0.027777777777777776,0.9375,0.030737704918032786,488,0.030737704918032786,0.9692622950819673,0.05952380952380952,8683.61328125
3,cnn-ae,K001,172,37,36,val_p99,1.0633842945098877,0.0,1.0,0.004098360655737705,488,0.004098360655737705,0.9959016393442623,0.00816326530612245,8683.61328125
3,cnn-ae,K001,172,37,36,train_mad5,1.0661563057899475,0.0,0.0,0.0,488,0.0,1.0,0.0,8683.61328125
3,cnn-ae,K002,172,37,36,train_p95,1.061808705329895,0.3333333333333333,0.8536585365853658,0.14344262295081966,488,0.14344262295081966,0.8565573770491803,0.24561403508771928,8683.61328125
3,cnn-ae,K002,172,37,36,train_p99,1.0622981786727905,0.16666666666666666,0.8461538461538461,0.06762295081967214,488,0.06762295081967214,0.9323770491803278,0.1252371916508539,8683.61328125
3,cnn-ae,K002,172,37,36,val_p95,1.062726616859436,0.1388888888888889,0.75,0.030737704918032786,488,0.030737704918032786,0.9692622950819673,0.05905511811023622,8683.61328125
3,cnn-ae,K002,172,37,36,val_p99,1.0633842945098877,0.0,1.0,0.004098360655737705,488,0.004098360655737705,0.9959016393442623,0.00816326530612245,8683.61328125
3,cnn-ae,K002,172,37,36,train_mad5,1.0661563057899475,0.0,0.0,0.0,488,0.0,1.0,0.0,8683.61328125
