dataset,protocol,decision_policy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault
CWRU,fault-size-wise,fuzzy_fault_only_hi75,0.9784826242156176,0.9316145053607351,0.8836139681909941,0.9160016462992963,0.8583579053625844,0.03323262839879154,0.1416420946374155,0.07197024443743641,0.1037433888264302,0.9053223148261148
CWRU,fault-size-wise,fuzzy_warning_as_alarm_hi50,0.9784826242156176,0.9316145053607351,0.8775840484368521,0.8500956585052292,0.9119645129396146,0.06797583081570997,0.08803548706038546,0.07197024443743641,0.1037433888264302,0.9053223148261148
CWRU,fault-size-wise,hard_val_p95,0.9784826242156176,0.9316145053607351,0.8775840484368521,0.8500956585052292,0.9119645129396146,0.06797583081570997,0.08803548706038546,0.07197024443743641,0.1037433888264302,0.9053223148261148
CWRU,file-wise,fuzzy_fault_only_hi75,0.9719704584925266,0.8930054804264507,0.8434115510098268,0.8809589269606057,0.8157532734897653,0.03298752716451878,0.18424672651023472,0.0935123861688132,0.11537501131622502,0.8832345294548247
CWRU,file-wise,fuzzy_warning_as_alarm_hi50,0.9719704584925266,0.8930054804264507,0.8393119355473548,0.7918980474362287,0.8983613598056172,0.07019307826395764,0.10163864019438285,0.0935123861688132,0.11537501131622502,0.8832345294548247
CWRU,file-wise,hard_val_p95,0.9719704584925266,0.8930054804264507,0.8393119355473548,0.7918980474362287,0.8983613598056172,0.07019307826395764,0.10163864019438285,0.0935123861688132,0.11537501131622502,0.8832345294548247
CWRU,load-wise,fuzzy_fault_only_hi75,0.9731297904566116,0.8942963691425859,0.8471583785852355,0.882216934580732,0.816981128053015,0.03298752716451878,0.1830188719469849,0.09079217177913859,0.11537501131622502,0.8808041351584847
CWRU,load-wise,fuzzy_warning_as_alarm_hi50,0.9731297904566116,0.8942963691425859,0.8375720130285181,0.7918474441064316,0.8912909350008195,0.07019307826395764,0.10870906499918054,0.09079217177913859,0.11537501131622502,0.8808041351584847
CWRU,load-wise,hard_val_p95,0.9731297904566116,0.8942963691425859,0.8375720130285181,0.7918474441064316,0.8912909350008195,0.07019307826395764,0.10870906499918054,0.09079217177913859,0.11537501131622502,0.8808041351584847
Paderborn,paderborn-bearing-wise,fuzzy_fault_only_hi75,0.8193596230923534,0.7395798822360825,0.35544653984926966,0.7085929390905679,0.27761267038632764,0.028085106382978724,0.7223873296136724,0.11927583966838325,0.09098511525181448,0.4064112908338738
Paderborn,paderborn-bearing-wise,fuzzy_warning_as_alarm_hi50,0.8193596230923534,0.7395798822360825,0.47106450907909997,0.7633252199307048,0.3982122853707586,0.05021276595744681,0.6017877146292414,0.11927583966838325,0.09098511525181448,0.4064112908338738
Paderborn,paderborn-bearing-wise,hard_val_p95,0.8193596230923534,0.7395798822360825,0.47106450907909997,0.7633252199307048,0.3982122853707586,0.05021276595744681,0.6017877146292414,0.11927583966838325,0.09098511525181448,0.4064112908338738
Paderborn,paderborn-condition-wise,fuzzy_fault_only_hi75,0.780265211233202,0.8121086850694148,0.4802104179792875,0.9104997192136077,0.3416006518797009,0.07476380062827875,0.6583993481202991,0.1391815539118368,0.16680891172483747,0.4636367495570831
Paderborn,paderborn-condition-wise,fuzzy_warning_as_alarm_hi50,0.780265211233202,0.8121086850694148,0.5817395786615568,0.8783031310954162,0.45432934299052286,0.1254096380931754,0.5456706570094771,0.1391815539118368,0.16680891172483747,0.4636367495570831
Paderborn,paderborn-condition-wise,hard_val_p95,0.780265211233202,0.8121086850694148,0.5817395786615568,0.8783031310954162,0.45432934299052286,0.1254096380931754,0.5456706570094771,0.1391815539118368,0.16680891172483747,0.4636367495570831
Paderborn,paderborn-file-wise,fuzzy_fault_only_hi75,0.7094716695847686,0.9717323914688278,0.3792576052017353,0.9770214000983232,0.2384326781535783,0.11748633879781419,0.7615673218464217,0.2154858919384467,0.2099546942163569,0.3834557250057025
Paderborn,paderborn-file-wise,fuzzy_warning_as_alarm_hi50,0.7094716695847686,0.9717323914688278,0.5441217985389818,0.9734586032393301,0.38115743351177295,0.20765027322404372,0.618842566488227,0.2154858919384467,0.2099546942163569,0.3834557250057025
Paderborn,paderborn-file-wise,hard_val_p95,0.7094716695847686,0.9717323914688278,0.5441217985389818,0.9734586032393301,0.38115743351177295,0.20765027322404372,0.618842566488227,0.2154858919384467,0.2099546942163569,0.3834557250057025
