,,roc_auc,roc_auc,pr_auc,pr_auc,f1,f1,precision,precision,recall,recall,false_alarm_rate,false_alarm_rate,miss_rate,miss_rate,inference_ms_per_window_cpu,inference_ms_per_window_cpu,model_size_mb,model_size_mb,param_count,param_count,train_seconds,train_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
protocol,model,,,,,,,,,,,,,,,,,,,,,,
paderborn-bearing-wise,cnn-ae,0.4111,0.0806,0.6269,0.0535,0.0628,0.0754,0.3099,0.365,0.035,0.042,0.1799,0.0819,0.965,0.042,1.368,0.0392,16.3574,0.0,4287265.0,0.0,6.3484,0.9075
paderborn-bearing-wise,iforest,0.7667,0.2005,0.847,0.099,0.2791,0.2484,0.832,0.146,0.178,0.173,0.0514,0.0,0.822,0.173,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
paderborn-bearing-wise,lstm-ae,0.525,0.015,0.6874,0.0064,0.0463,0.0015,0.5546,0.0023,0.0241,0.0008,0.048,0.0013,0.9759,0.0008,0.873,0.093,0.2086,0.0,54689.0,0.0,5.884,0.1387
paderborn-bearing-wise,vae,0.4473,0.1167,0.6457,0.0744,0.0768,0.0986,0.3553,0.4082,0.0432,0.0558,0.1217,0.0118,0.9568,0.0558,1.2341,0.0207,16.3887,0.0,4295489.0,0.0,6.3041,0.2613
paderborn-condition-wise,cnn-ae,0.4128,0.1239,0.4159,0.0384,0.0983,0.1453,0.1467,0.1306,0.0914,0.1505,0.2479,0.3187,0.9086,0.1505,1.6263,0.427,16.3574,0.0,4287265.0,0.0,6.3802,1.3241
paderborn-condition-wise,iforest,0.7196,0.2705,0.7373,0.2391,0.377,0.1398,0.7853,0.284,0.2685,0.1157,0.1434,0.2528,0.7315,0.1157,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
paderborn-condition-wise,lstm-ae,0.5468,0.1351,0.4998,0.076,0.0556,0.035,0.3685,0.1433,0.0305,0.0202,0.0496,0.0284,0.9695,0.0202,0.7862,0.032,0.2086,0.0,54689.0,0.0,5.7451,0.747
paderborn-condition-wise,vae,0.4244,0.1263,0.4214,0.0393,0.1325,0.1699,0.1845,0.1344,0.1304,0.1913,0.2996,0.3721,0.8696,0.1913,1.4,0.2215,16.3887,0.0,4295489.0,0.0,7.6561,1.6597
paderborn-file-wise,cnn-ae,0.5789,0.4369,0.8385,0.1716,0.093,0.0881,0.8132,0.2157,0.0532,0.0526,0.1147,0.1389,0.9468,0.0526,1.4227,0.0355,16.3574,0.0,4287265.0,0.0,9.1708,2.0765
paderborn-file-wise,iforest,0.704,0.2092,0.8832,0.1151,0.3572,0.2324,0.8929,0.1595,0.2453,0.199,0.1311,0.2217,0.7547,0.199,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
paderborn-file-wise,lstm-ae,0.6558,0.3948,0.8625,0.159,0.0544,0.0049,0.8234,0.2053,0.0281,0.0024,0.0291,0.0345,0.9719,0.0024,0.8992,0.0728,0.2086,0.0,54689.0,0.0,6.8133,1.5113
paderborn-file-wise,vae,0.5467,0.418,0.8257,0.1695,0.1007,0.1173,0.8057,0.2244,0.0605,0.0728,0.1493,0.1862,0.9395,0.0728,1.4329,0.163,16.3887,0.0,4295489.0,0.0,9.2974,1.8083
