protocol,heldout_group,threshold_strategy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate
paderborn-bearing-wise,KA01,train_p95,0.9739,0.9093,0.9593,0.9418,0.9775,0.0502,0.0225
paderborn-bearing-wise,KA01,val_p95,0.9739,0.9093,0.9593,0.9418,0.9775,0.0502,0.0225
paderborn-bearing-wise,KA03,train_p95,0.9588,0.9016,0.8665,0.9307,0.8106,0.0502,0.1894
paderborn-bearing-wise,KA03,val_p95,0.9588,0.9016,0.8665,0.9307,0.8106,0.0502,0.1894
paderborn-bearing-wise,KA05,train_p95,0.7771,0.6274,0.1061,0.4957,0.0594,0.0502,0.9406
paderborn-bearing-wise,KA05,val_p95,0.7771,0.6274,0.1061,0.4957,0.0594,0.0502,0.9406
paderborn-bearing-wise,KA07,train_p95,0.7554,0.6289,0.1454,0.5816,0.0831,0.0502,0.9169
paderborn-bearing-wise,KA07,val_p95,0.7554,0.6289,0.1454,0.5816,0.0831,0.0502,0.9169
paderborn-bearing-wise,KI01,train_p95,0.8193,0.6975,0.2199,0.6845,0.131,0.0502,0.869
paderborn-bearing-wise,KI01,val_p95,0.8193,0.6975,0.2199,0.6845,0.131,0.0502,0.869
paderborn-bearing-wise,KI03,train_p95,0.9158,0.8513,0.7739,0.9176,0.669,0.0502,0.331
paderborn-bearing-wise,KI03,val_p95,0.9158,0.8513,0.7731,0.9175,0.668,0.0502,0.332
paderborn-bearing-wise,KI05,train_p95,0.7133,0.6824,0.4391,0.8319,0.2983,0.0502,0.7017
paderborn-bearing-wise,KI05,val_p95,0.7133,0.6824,0.4391,0.8319,0.2983,0.0502,0.7017
paderborn-bearing-wise,KI07,train_p95,0.7405,0.6388,0.259,0.723,0.1578,0.0502,0.8422
paderborn-bearing-wise,KI07,val_p95,0.7405,0.6388,0.259,0.723,0.1578,0.0502,0.8422
paderborn-condition-wise,N09_M07_F10,train_p95,0.6287,0.6509,0.6443,0.6654,0.6246,0.4194,0.3754
paderborn-condition-wise,N09_M07_F10,val_p95,0.6287,0.6509,0.6412,0.6652,0.6189,0.416,0.3811
paderborn-condition-wise,N15_M01_F10,train_p95,0.8504,0.8782,0.5856,0.9383,0.4257,0.0373,0.5743
paderborn-condition-wise,N15_M01_F10,val_p95,0.8504,0.8782,0.5856,0.9383,0.4257,0.0373,0.5743
paderborn-condition-wise,N15_M07_F04,train_p95,0.8221,0.8544,0.4945,0.9644,0.3325,0.0163,0.6675
paderborn-condition-wise,N15_M07_F04,val_p95,0.8221,0.8544,0.5337,0.9455,0.3718,0.0286,0.6282
paderborn-condition-wise,N15_M07_F10,train_p95,0.8572,0.8873,0.5731,0.9591,0.4086,0.0232,0.5914
paderborn-condition-wise,N15_M07_F10,val_p95,0.8572,0.8873,0.5664,0.9643,0.4009,0.0198,0.5991
paderborn-file-wise,fold1,train_p95,0.9918,0.9996,0.702,1.0,0.5408,0.0,0.4592
paderborn-file-wise,fold1,val_p95,0.9918,0.9996,0.7094,1.0,0.5497,0.0,0.4503
paderborn-file-wise,fold2,train_p95,0.9595,0.9978,0.5208,1.0,0.3521,0.0,0.6479
paderborn-file-wise,fold2,val_p95,0.9595,0.9978,0.4969,1.0,0.3306,0.0,0.6694
paderborn-file-wise,fold3,train_p95,0.9841,0.9992,0.5374,1.0,0.3674,0.0,0.6326
paderborn-file-wise,fold3,val_p95,0.9841,0.9992,0.5374,1.0,0.3674,0.0,0.6326
paderborn-file-wise,fold4,train_p95,0.1466,0.8969,0.4775,0.8805,0.3276,0.9344,0.6724
paderborn-file-wise,fold4,val_p95,0.1466,0.8969,0.4827,0.882,0.3323,0.9344,0.6677
paderborn-file-wise,fold5,train_p95,0.5469,0.9696,0.514,0.974,0.3491,0.1967,0.6509
paderborn-file-wise,fold5,val_p95,0.5469,0.9696,0.4965,0.9772,0.3328,0.1639,0.6672
paderborn-file-wise,fold6,train_p95,0.6951,0.975,0.5705,0.981,0.4022,0.1639,0.5978
paderborn-file-wise,fold6,val_p95,0.6951,0.975,0.5418,0.9816,0.3741,0.1475,0.6259
