protocol,threshold_strategy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate
paderborn-bearing-wise,train_mad5,0.8318,0.7421,0.0116,0.2605,0.006,0.0051,0.994
paderborn-bearing-wise,train_p95,0.8318,0.7421,0.4712,0.7633,0.3983,0.0502,0.6017
paderborn-bearing-wise,train_p99,0.8318,0.7421,0.0372,0.3653,0.0201,0.0145,0.9799
paderborn-bearing-wise,val_p95,0.8318,0.7421,0.4711,0.7633,0.3982,0.0502,0.6018
paderborn-bearing-wise,val_p99,0.8318,0.7421,0.1285,0.5699,0.0834,0.0153,0.9166
paderborn-condition-wise,train_mad5,0.7896,0.8177,0.0877,0.9091,0.06,0.0453,0.94
paderborn-condition-wise,train_p95,0.7896,0.8177,0.5744,0.8818,0.4478,0.1241,0.5522
paderborn-condition-wise,train_p99,0.7896,0.8177,0.1059,0.8305,0.0724,0.0507,0.9276
paderborn-condition-wise,val_p95,0.7896,0.8177,0.5817,0.8783,0.4543,0.1254,0.5457
paderborn-condition-wise,val_p99,0.7896,0.8177,0.1877,0.866,0.1224,0.0529,0.8776
paderborn-file-wise,train_mad5,0.7207,0.973,0.0169,0.9147,0.0086,0.0355,0.9914
paderborn-file-wise,train_p95,0.7207,0.973,0.5537,0.9726,0.3899,0.2158,0.6101
paderborn-file-wise,train_p99,0.7207,0.973,0.0378,0.9394,0.0194,0.0464,0.9806
paderborn-file-wise,val_p95,0.7207,0.973,0.5441,0.9735,0.3812,0.2077,0.6188
paderborn-file-wise,val_p99,0.7207,0.973,0.0586,0.9418,0.0305,0.0574,0.9695
