protocol,model,threshold_strategy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate
paderborn-bearing-wise,cnn-ae,train_mad5,0.4111,0.6269,0.0,0.0,0.0,0.0,1.0
paderborn-bearing-wise,cnn-ae,train_p95,0.4111,0.6269,0.0628,0.3099,0.035,0.1799,0.965
paderborn-bearing-wise,cnn-ae,train_p99,0.4111,0.6269,0.0224,0.2974,0.0116,0.0712,0.9884
paderborn-bearing-wise,cnn-ae,val_p95,0.4111,0.6269,0.0277,0.3091,0.0145,0.0582,0.9855
paderborn-bearing-wise,cnn-ae,val_p99,0.4111,0.6269,0.0079,0.3319,0.004,0.0133,0.996
paderborn-bearing-wise,iforest,train_mad5,0.7667,0.847,0.0099,0.3736,0.005,0.0136,0.995
paderborn-bearing-wise,iforest,train_p95,0.7667,0.847,0.2791,0.832,0.178,0.0514,0.822
paderborn-bearing-wise,iforest,train_p99,0.7667,0.847,0.004,0.2713,0.002,0.0099,0.998
paderborn-bearing-wise,iforest,val_p95,0.7667,0.847,0.2732,0.8276,0.1735,0.0514,0.8265
paderborn-bearing-wise,iforest,val_p99,0.7667,0.847,0.0174,0.4395,0.0089,0.0198,0.9911
paderborn-bearing-wise,lstm-ae,train_mad5,0.525,0.6874,0.0,0.0,0.0,0.0,1.0
paderborn-bearing-wise,lstm-ae,train_p95,0.525,0.6874,0.0463,0.5546,0.0241,0.048,0.9759
paderborn-bearing-wise,lstm-ae,train_p99,0.525,0.6874,0.0124,0.6174,0.0063,0.0096,0.9937
paderborn-bearing-wise,lstm-ae,val_p95,0.525,0.6874,0.0444,0.5529,0.0231,0.0461,0.9769
paderborn-bearing-wise,lstm-ae,val_p99,0.525,0.6874,0.0094,0.5953,0.0048,0.008,0.9952
paderborn-bearing-wise,vae,train_mad5,0.4473,0.6457,0.0,0.0,0.0,0.0,1.0
paderborn-bearing-wise,vae,train_p95,0.4473,0.6457,0.0768,0.3553,0.0432,0.1217,0.9568
paderborn-bearing-wise,vae,train_p99,0.4473,0.6457,0.0212,0.3133,0.011,0.0384,0.989
paderborn-bearing-wise,vae,val_p95,0.4473,0.6457,0.0334,0.3288,0.0176,0.0576,0.9824
paderborn-bearing-wise,vae,val_p99,0.4473,0.6457,0.0071,0.2544,0.0036,0.0127,0.9964
paderborn-condition-wise,cnn-ae,train_mad5,0.4128,0.4159,0.0,0.0,0.0,0.0,1.0
paderborn-condition-wise,cnn-ae,train_p95,0.4128,0.4159,0.0983,0.1467,0.0914,0.2479,0.9086
paderborn-condition-wise,cnn-ae,train_p99,0.4128,0.4159,0.0579,0.1136,0.0439,0.1163,0.9561
paderborn-condition-wise,cnn-ae,val_p95,0.4128,0.4159,0.0548,0.1175,0.0414,0.1079,0.9586
paderborn-condition-wise,cnn-ae,val_p99,0.4128,0.4159,0.0235,0.1209,0.0139,0.0359,0.9861
paderborn-condition-wise,iforest,train_mad5,0.7196,0.7373,0.0207,0.4045,0.0118,0.0672,0.9882
paderborn-condition-wise,iforest,train_p95,0.7196,0.7373,0.377,0.7853,0.2685,0.1434,0.7315
paderborn-condition-wise,iforest,train_p99,0.7196,0.7373,0.0148,0.1985,0.0095,0.0748,0.9905
paderborn-condition-wise,iforest,val_p95,0.7196,0.7373,0.3681,0.7893,0.2653,0.1463,0.7347
paderborn-condition-wise,iforest,val_p99,0.7196,0.7373,0.0086,0.1645,0.0054,0.0632,0.9946
paderborn-condition-wise,lstm-ae,train_mad5,0.5468,0.4998,0.0,0.0,0.0,0.0,1.0
paderborn-condition-wise,lstm-ae,train_p95,0.5468,0.4998,0.0556,0.3685,0.0305,0.0496,0.9695
paderborn-condition-wise,lstm-ae,train_p99,0.5468,0.4998,0.0203,0.488,0.0104,0.0094,0.9896
paderborn-condition-wise,lstm-ae,val_p95,0.5468,0.4998,0.0599,0.3655,0.033,0.0525,0.967
paderborn-condition-wise,lstm-ae,val_p99,0.5468,0.4998,0.0237,0.4698,0.0123,0.0121,0.9877
paderborn-condition-wise,vae,train_mad5,0.4244,0.4214,0.0,0.0,0.0,0.0,1.0
paderborn-condition-wise,vae,train_p95,0.4244,0.4214,0.1325,0.1845,0.1304,0.2996,0.8696
paderborn-condition-wise,vae,train_p99,0.4244,0.4214,0.0852,0.131,0.074,0.1801,0.926
paderborn-condition-wise,vae,val_p95,0.4244,0.4214,0.0632,0.1159,0.0511,0.1224,0.9489
paderborn-condition-wise,vae,val_p99,0.4244,0.4214,0.0261,0.1088,0.0158,0.0394,0.9842
paderborn-file-wise,cnn-ae,train_mad5,0.5789,0.8385,0.0,0.0,0.0,0.0,1.0
paderborn-file-wise,cnn-ae,train_p95,0.5789,0.8385,0.093,0.8132,0.0532,0.1147,0.9468
paderborn-file-wise,cnn-ae,train_p99,0.5789,0.8385,0.0349,0.8641,0.0183,0.0251,0.9817
paderborn-file-wise,cnn-ae,val_p95,0.5789,0.8385,0.0372,0.8541,0.0195,0.0326,0.9805
paderborn-file-wise,cnn-ae,val_p99,0.5789,0.8385,0.0116,0.6441,0.0059,0.006,0.9941
paderborn-file-wise,iforest,train_mad5,0.704,0.8832,0.0079,0.5165,0.004,0.0431,0.996
paderborn-file-wise,iforest,train_p95,0.704,0.8832,0.3572,0.8929,0.2453,0.1311,0.7547
paderborn-file-wise,iforest,train_p99,0.704,0.8832,0.0054,0.2643,0.0028,0.0336,0.9972
paderborn-file-wise,iforest,val_p95,0.704,0.8832,0.4034,0.9083,0.2822,0.1401,0.7178
paderborn-file-wise,iforest,val_p99,0.704,0.8832,0.0081,0.5167,0.0041,0.0356,0.9959
paderborn-file-wise,lstm-ae,train_mad5,0.6558,0.8625,0.0,0.0,0.0,0.0,1.0
paderborn-file-wise,lstm-ae,train_p95,0.6558,0.8625,0.0544,0.8234,0.0281,0.0291,0.9719
paderborn-file-wise,lstm-ae,train_p99,0.6558,0.8625,0.0212,0.908,0.0107,0.004,0.9893
paderborn-file-wise,lstm-ae,val_p95,0.6558,0.8625,0.0622,0.8206,0.0324,0.0341,0.9676
paderborn-file-wise,lstm-ae,val_p99,0.6558,0.8625,0.0261,0.8839,0.0133,0.006,0.9867
paderborn-file-wise,vae,train_mad5,0.5467,0.8257,0.0,0.0,0.0,0.0,1.0
paderborn-file-wise,vae,train_p95,0.5467,0.8257,0.1007,0.8057,0.0605,0.1493,0.9395
paderborn-file-wise,vae,train_p99,0.5467,0.8257,0.0355,0.5842,0.0189,0.0391,0.9811
paderborn-file-wise,vae,val_p95,0.5467,0.8257,0.0256,0.8295,0.0133,0.0266,0.9867
paderborn-file-wise,vae,val_p99,0.5467,0.8257,0.003,0.2795,0.0015,0.0045,0.9985
