protocol,model,threshold_strategy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate
fault-size-wise,cnn-ae,train_mad5,1.0,1.0,0.6468,0.4861,1.0,0.495,0.0
fault-size-wise,cnn-ae,train_p95,1.0,1.0,0.574,0.4027,1.0,0.636,0.0
fault-size-wise,cnn-ae,train_p99,1.0,1.0,0.5784,0.4069,1.0,0.6249,0.0
fault-size-wise,cnn-ae,val_p95,1.0,1.0,0.9294,0.8682,1.0,0.065,0.0
fault-size-wise,cnn-ae,val_p99,1.0,1.0,0.9774,0.9558,1.0,0.0196,0.0
fault-size-wise,iforest,train_mad5,0.9841,0.966,0.8374,0.981,0.7319,0.006,0.2681
fault-size-wise,iforest,train_p95,0.9841,0.966,0.8809,0.8635,0.9036,0.0604,0.0964
fault-size-wise,iforest,train_p99,0.9841,0.966,0.8401,0.972,0.7413,0.0091,0.2587
fault-size-wise,iforest,val_p95,0.9841,0.966,0.8776,0.8501,0.912,0.068,0.088
fault-size-wise,iforest,val_p99,0.9841,0.966,0.8581,0.9523,0.7837,0.0166,0.2163
fault-size-wise,lstm-ae,train_mad5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
fault-size-wise,lstm-ae,train_p95,1.0,1.0,0.9407,0.8881,1.0,0.0539,0.0
fault-size-wise,lstm-ae,train_p99,1.0,1.0,0.9872,0.9747,1.0,0.0111,0.0
fault-size-wise,lstm-ae,val_p95,1.0,1.0,0.9572,0.918,1.0,0.0383,0.0
fault-size-wise,lstm-ae,val_p99,1.0,1.0,0.9924,0.985,1.0,0.0065,0.0
fault-size-wise,vae,train_mad5,1.0,1.0,0.7055,0.5753,1.0,0.4325,0.0
fault-size-wise,vae,train_p95,1.0,1.0,0.5842,0.4127,1.0,0.6118,0.0
fault-size-wise,vae,train_p99,1.0,1.0,0.6039,0.4334,1.0,0.5695,0.0
fault-size-wise,vae,val_p95,1.0,1.0,0.9306,0.8702,1.0,0.0639,0.0
fault-size-wise,vae,val_p99,1.0,1.0,0.9702,0.9423,1.0,0.0262,0.0
file-wise,cnn-ae,train_mad5,1.0,1.0,0.6953,0.623,1.0,0.5,0.0
file-wise,cnn-ae,train_p95,1.0,1.0,0.6477,0.5361,1.0,0.5238,0.0
file-wise,cnn-ae,train_p99,1.0,1.0,0.6833,0.5995,1.0,0.5056,0.0
file-wise,cnn-ae,val_p95,1.0,1.0,0.7806,0.717,1.0,0.3003,0.0
file-wise,cnn-ae,val_p99,1.0,1.0,0.8127,0.7656,1.0,0.2544,0.0
file-wise,iforest,train_mad5,0.977,0.9405,0.8282,0.9568,0.7376,0.0082,0.2624
file-wise,iforest,train_p95,0.977,0.9405,0.8416,0.7923,0.8984,0.0662,0.1016
file-wise,iforest,train_p99,0.977,0.9405,0.8278,0.9485,0.7435,0.01,0.2565
file-wise,iforest,val_p95,0.977,0.9405,0.8393,0.7919,0.8984,0.0702,0.1016
file-wise,iforest,val_p99,0.977,0.9405,0.8272,0.9352,0.7504,0.014,0.2496
file-wise,lstm-ae,train_mad5,0.9974,0.9808,0.0,0.0,0.0,0.0,1.0
file-wise,lstm-ae,train_p95,0.9974,0.9808,0.8682,0.8274,1.0,0.25,0.0
file-wise,lstm-ae,train_p99,0.9974,0.9808,0.8685,0.8276,1.0,0.2489,0.0
file-wise,lstm-ae,val_p95,0.9974,0.9808,0.8682,0.8274,1.0,0.25,0.0
file-wise,lstm-ae,val_p99,0.9974,0.9808,0.8682,0.8274,1.0,0.25,0.0
file-wise,vae,train_mad5,1.0,1.0,0.6953,0.623,1.0,0.5,0.0
file-wise,vae,train_p95,1.0,1.0,0.6315,0.5104,1.0,0.5331,0.0
file-wise,vae,train_p99,1.0,1.0,0.6676,0.5709,1.0,0.5132,0.0
file-wise,vae,val_p95,1.0,1.0,0.7929,0.7345,1.0,0.2818,0.0
file-wise,vae,val_p99,1.0,1.0,0.8238,0.7803,1.0,0.2283,0.0
load-wise,cnn-ae,train_mad5,1.0,1.0,0.6924,0.6206,1.0,0.5,0.0
load-wise,cnn-ae,train_p95,1.0,1.0,0.6361,0.5195,1.0,0.5294,0.0
load-wise,cnn-ae,train_p99,1.0,1.0,0.6706,0.5787,1.0,0.5106,0.0
load-wise,cnn-ae,val_p95,1.0,1.0,0.7924,0.7343,1.0,0.2808,0.0
load-wise,cnn-ae,val_p99,1.0,1.0,0.8253,0.7849,1.0,0.2289,0.0
load-wise,iforest,train_mad5,0.9781,0.9415,0.8317,0.9573,0.7365,0.0082,0.2635
load-wise,iforest,train_p95,0.9781,0.9415,0.8404,0.7938,0.8938,0.0662,0.1062
load-wise,iforest,train_p99,0.9781,0.9415,0.8355,0.9483,0.7479,0.01,0.2521
load-wise,iforest,val_p95,0.9781,0.9415,0.8376,0.7918,0.8913,0.0702,0.1087
load-wise,iforest,val_p99,0.9781,0.9415,0.8331,0.9344,0.7526,0.014,0.2474
load-wise,lstm-ae,train_mad5,0.9987,0.9887,0.0,0.0,0.0,0.0,1.0
