protocol,heldout_group,model,train_normal_count,val_normal_count,test_normal_count,test_fault_count,threshold_strategy,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp,best_epoch,best_val_loss,train_seconds,inference_ms_per_window_cpu,model_size_mb,param_count
load-wise,0,vae,2268,567,475,205,train_p95,0.1792265623807907,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,92,319.59169514973956,26.258501200005412,1.4738900121301413,16.388729095458984,4295489
load-wise,0,vae,2268,567,475,205,train_p99,0.1861705332994461,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,92,319.59169514973956,26.258501200005412,1.4738900121301413,16.388729095458984,4295489
load-wise,0,vae,2268,567,475,205,val_p95,0.5277106761932373,1.0,0.9999999999999999,0.7454545454545455,1.0,0.8541666666666666,0.14736842105263157,0.0,405,70,0,205,92,319.59169514973956,26.258501200005412,1.4738900121301413,16.388729095458984,4295489
load-wise,0,vae,2268,567,475,205,val_p99,0.5638564825057983,1.0,0.9999999999999999,0.9624413145539906,1.0,0.9808612440191388,0.016842105263157894,0.0,467,8,0,205,92,319.59169514973956,26.258501200005412,1.4738900121301413,16.388729095458984,4295489
load-wise,0,vae,2268,567,475,205,train_mad5,0.21119527247548103,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,92,319.59169514973956,26.258501200005412,1.4738900121301413,16.388729095458984,4295489
load-wise,0,cnn-ae,2268,567,475,205,train_p95,0.18860316276550293,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,63,322.12160237630206,17.750561099965125,1.233999989926815,16.357357025146484,4287265
load-wise,0,cnn-ae,2268,567,475,205,train_p99,0.19659523665905,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,63,322.12160237630206,17.750561099965125,1.233999989926815,16.357357025146484,4287265
load-wise,0,cnn-ae,2268,567,475,205,val_p95,0.5314735174179077,1.0,0.9999999999999999,0.7536764705882353,1.0,0.859538784067086,0.14105263157894737,0.0,408,67,0,205,63,322.12160237630206,17.750561099965125,1.233999989926815,16.357357025146484,4287265
load-wise,0,cnn-ae,2268,567,475,205,val_p99,0.5803768634796143,1.0,0.9999999999999999,0.9403669724770642,1.0,0.9692671394799054,0.02736842105263158,0.0,462,13,0,205,63,322.12160237630206,17.750561099965125,1.233999989926815,16.357357025146484,4287265
load-wise,0,cnn-ae,2268,567,475,205,train_mad5,0.22814827435463667,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205,63,322.12160237630206,17.750561099965125,1.233999989926815,16.357357025146484,4287265
