heldout_load,snr_db,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp
0,clean,0.5220314860343933,1.0,0.9999999999999999,0.7454545454545455,1.0,0.8541666666666666,0.14736842105263157,0.0,405,70,0,205
0,30,0.5220314860343933,1.0,0.9999999999999999,0.737410071942446,1.0,0.8488612836438924,0.15368421052631578,0.0,402,73,0,205
0,20,0.5220314860343933,1.0,0.9999999999999999,0.6925675675675675,1.0,0.8183632734530938,0.19157894736842104,0.0,384,91,0,205
0,10,0.5220314860343933,1.0,0.9999999999999999,0.3168469860896445,1.0,0.4812206572769953,0.9305263157894736,0.0,33,442,0,205
0,5,0.5220314860343933,1.0,0.9999999999999999,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205
1,clean,0.47881510853767395,1.0,1.0,0.9953917050691244,1.0,0.9976905311778291,0.001059322033898305,0.0,943,1,0,216
1,30,0.47881510853767395,1.0,1.0,0.9953917050691244,1.0,0.9976905311778291,0.001059322033898305,0.0,943,1,0,216
1,20,0.47881510853767395,1.0,1.0,0.9953917050691244,1.0,0.9976905311778291,0.001059322033898305,0.0,943,1,0,216
1,10,0.47881510853767395,1.0,1.0,0.7372013651877133,1.0,0.8487229862475442,0.0815677966101695,0.0,867,77,0,216
1,5,0.47881510853767395,1.0,1.0,0.18620689655172415,1.0,0.313953488372093,1.0,0.0,0,944,0,216
2,clean,0.4669016897678375,1.0,1.0,0.9910714285714286,1.0,0.9955156950672646,0.00211864406779661,0.0,942,2,0,222
2,30,0.4669016897678375,1.0,1.0,0.9910714285714286,1.0,0.9955156950672646,0.00211864406779661,0.0,942,2,0,222
2,20,0.4669016897678375,1.0,1.0,0.9910714285714286,1.0,0.9955156950672646,0.00211864406779661,0.0,942,2,0,222
2,10,0.4669016897678375,1.0,1.0,0.69375,1.0,0.8191881918819188,0.1038135593220339,0.0,846,98,0,222
2,5,0.4669016897678375,1.0,1.0,0.19039451114922812,1.0,0.31988472622478387,1.0,0.0,0,944,0,222
3,clean,0.4342016875743866,1.0,1.0,0.18205574912891986,1.0,0.30803242446573326,0.9915522703273495,0.0,8,939,0,209
3,30,0.4342016875743866,1.0,1.0,0.18205574912891986,1.0,0.30803242446573326,0.9915522703273495,0.0,8,939,0,209
3,20,0.4342016875743866,1.0,1.0,0.1814236111111111,1.0,0.3071271124173402,0.9957761351636748,0.0,4,943,0,209
3,10,0.4342016875743866,1.0,1.0,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
3,5,0.4342016875743866,1.0,1.0,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
