heldout_load,strategy,threshold,eval_normal_count,eval_fault_count,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp
0,train_p95,0.1870366334915161,475,205,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205
0,train_p99,0.19417497515678406,475,205,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205
0,val_p95,0.5220314860343933,475,205,0.7454545454545455,1.0,0.8541666666666666,0.14736842105263157,0.0,405,70,0,205
0,val_p99,0.5649883151054382,475,205,0.9624413145539906,1.0,0.9808612440191388,0.016842105263157894,0.0,467,8,0,205
0,train_median_mad_3,0.20116354652792215,475,205,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205
0,train_median_mad_5,0.22233393504470586,475,205,0.3014705882352941,1.0,0.4632768361581921,1.0,0.0,0,475,0,205
0,target_load_10pct_normal_p95,0.5321897268295288,427,205,0.8471074380165289,1.0,0.9172259507829977,0.08665105386416862,0.0,390,37,0,205
0,target_load_10pct_normal_p99,0.5693308115005493,427,205,0.9761904761904762,1.0,0.9879518072289156,0.0117096018735363,0.0,422,5,0,205
1,train_p95,0.37168973684310913,944,216,0.7035830618892508,1.0,0.8260038240917782,0.09639830508474577,0.0,853,91,0,216
1,train_p99,0.39512479305267334,944,216,0.8372093023255814,1.0,0.9113924050632911,0.04449152542372881,0.0,902,42,0,216
1,val_p95,0.47881510853767395,944,216,0.9953917050691244,1.0,0.9976905311778291,0.001059322033898305,0.0,943,1,0,216
1,val_p99,0.5043515563011169,944,216,1.0,1.0,1.0,0.0,0.0,944,0,0,216
1,train_median_mad_3,0.43143827843666077,944,216,0.9818181818181818,1.0,0.9908256880733946,0.00423728813559322,0.0,940,4,0,216
1,train_median_mad_5,0.5130849468708039,944,216,1.0,1.0,1.0,0.0,0.0,944,0,0,216
1,target_load_10pct_normal_p95,0.400231271982193,850,216,0.8816326530612245,1.0,0.9370932754880694,0.03411764705882353,0.0,821,29,0,216
1,target_load_10pct_normal_p99,0.4218961298465729,850,216,0.9642857142857143,1.0,0.9818181818181818,0.009411764705882352,0.0,842,8,0,216
2,train_p95,0.3736811876296997,944,222,0.7551020408163265,1.0,0.8604651162790697,0.07627118644067797,0.0,872,72,0,222
2,train_p99,0.39693525433540344,944,222,0.8774703557312253,1.0,0.9347368421052632,0.03283898305084746,0.0,913,31,0,222
2,val_p95,0.4669016897678375,944,222,0.9910714285714286,1.0,0.9955156950672646,0.00211864406779661,0.0,942,2,0,222
2,val_p99,0.4897007942199707,944,222,1.0,1.0,1.0,0.0,0.0,944,0,0,222
2,train_median_mad_3,0.4284816586852074,944,222,0.9779735682819384,1.0,0.9888641425389755,0.005296610169491525,0.0,939,5,0,222
2,train_median_mad_5,0.5096300979256629,944,222,1.0,1.0,1.0,0.0,0.0,944,0,0,222
2,target_load_10pct_normal_p95,0.38051146268844604,850,222,0.8072727272727273,1.0,0.8933601609657947,0.06235294117647059,0.0,797,53,0,222
2,target_load_10pct_normal_p99,0.41778165102005005,850,222,0.9652173913043478,1.0,0.9823008849557522,0.009411764705882352,0.0,842,8,0,222
3,train_p95,0.17971082031726837,947,209,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
3,train_p99,0.18941572308540344,947,209,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
3,val_p95,0.4342016875743866,947,209,0.18205574912891986,1.0,0.30803242446573326,0.9915522703273495,0.0,8,939,0,209
3,val_p99,0.4817887544631958,947,209,0.21770833333333334,1.0,0.3575705731394354,0.7930306230200633,0.0,196,751,0,209
3,train_median_mad_3,0.1912728588104248,947,209,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
3,train_median_mad_5,0.2110542721748352,947,209,0.18079584775086505,1.0,0.30622710622710625,1.0,0.0,0,947,0,209
3,target_load_10pct_normal_p95,0.5652155876159668,852,209,0.7977099236641222,1.0,0.8874734607218684,0.062206572769953054,0.0,799,53,0,209
3,target_load_10pct_normal_p99,0.5911028981208801,852,209,0.9414414414414415,1.0,0.9698375870069605,0.015258215962441314,0.0,839,13,0,209
